Date,Close/Last,Volume,Open,High,Low
02/10/2022,$355.09,4291847,$358.84,$363,$352.87
02/09/2022,$364.37,2777544,$365.31,$367.4574,$363.0001
02/08/2022,$361.44,3225146,$357.35,$362.98,$354.7998
02/07/2022,$357.35,2809304,$360.26,$361.8,$355.44
02/04/2022,$359.67,3728123,$363.5,$364.67,$354.25
02/03/2022,$364.81,4009701,$370.19,$372.12,$363.2
02/02/2022,$373.73,3839251,$368.38,$374.67,$367.763
02/01/2022,$368.7,3406831,$369.47,$370.6875,$362.37
01/31/2022,$366.98,4084565,$364.81,$367.41,$362.205
01/28/2022,$366.54,4551332,$360.17,$366.72,$352.84
01/27/2022,$356.43,3944004,$360.43,$364.12,$353.9061
01/26/2022,$357.28,6103290,$360,$365.8972,$354.45
01/25/2022,$358.98,5536718,$358.14,$361.52,$352.19
01/24/2022,$363.81,8595587,$343.78,$364.38,$343.61
01/21/2022,$349.1,7718435,$351.72,$360.09,$347.18
01/20/2022,$349.58,5440597,$361.33,$361.85,$349.02
01/19/2022,$359.69,5175114,$367.18,$368.7,$359.41
01/18/2022,$366.72,6437444,$366.1,$368.0894,$360.03
01/14/2022,$372,6336236,$381.33,$382.0077,$371.5
01/13/2022,$386.98,3466279,$392.51,$394.31,$385.86
01/12/2022,$389.4,3623271,$388.29,$393.45,$386.38
01/11/2022,$386.67,4385404,$388.07,$391.84,$384.32
01/10/2022,$387.46,6439979,$387.4,$387.59,$380.91
01/07/2022,$393.61,4520671,$403.36,$404.09,$392.88
01/06/2022,$405.76,3315099,$408.56,$409.07,$403.02
01/05/2022,$407.24,4443198,$414,$414.22,$406.81
01/04/2022,$412.84,3266516,$408.64,$413.61,$408.19
01/03/2022,$408.64,3721342,$416.57,$417.8446,$403.26
12/31/2021,$415.01,2386069,$409.99,$416.53,$409.885
12/30/2021,$409.94,1804380,$411.85,$413.44,$408.4
12/29/2021,$410.84,2209598,$406.38,$412.37,$406.31
12/28/2021,$406.22,2522529,$404.99,$407.02,$403
12/27/2021,$404.09,2230555,$399.04,$404.45,$398.21
12/23/2021,$397.07,2743898,$398.29,$399.84,$394.6201
12/22/2021,$395.64,3267847,$391,$395.77,$388.8567
12/21/2021,$390.47,3038158,$391.63,$393.76,$383.24
12/20/2021,$389.4,4294757,$384.29,$390.17,$380.9
12/17/2021,$387.98,11106730,$396.97,$397.975,$387.42
12/16/2021,$399.53,4632837,$408.4,$408.87,$398.12
12/15/2021,$407.81,4421435,$400.62,$407.93,$399.39
12/14/2021,$402.2,4663013,$403.45,$405.68,$398.08
12/13/2021,$405.24,3766397,$415.4,$416.5,$404.51
12/10/2021,$415.4,2625183,$412.19,$415.61,$410.255
12/09/2021,$411.34,3822865,$410.8,$415.25,$408.285
12/08/2021,$411.25,4079365,$416.18,$419.85,$408.28
12/07/2021,$416.18,4204474,$417,$418.56,$413.02
12/06/2021,$415.7,4624477,$413.52,$420.61,$411.22
12/03/2021,$407.81,5237476,$409.85,$415.93,$404.45
12/02/2021,$407.77,3705017,$401.81,$410.7,$401
12/01/2021,$400.42,3519344,$402.08,$410.25,$400.22
11/30/2021,$400.61,7773528,$403.59,$408.425,$400.25
11/29/2021,$406.82,3725493,$406.9,$410.805,$406.04
11/26/2021,$402.7,3007785,$407.26,$414.14,$402.25
11/24/2021,$412.11,2676339,$403.66,$412.75,$402.88
11/23/2021,$408.37,3557468,$405.67,$409.68,$403.01
11/22/2021,$408.79,4008859,$409.8,$416.56,$408.7
11/19/2021,$408.69,3541964,$407.63,$410.1,$404.1101
11/18/2021,$405.85,4504774,$398,$406.5378,$396.09
11/17/2021,$394.85,4647042,$392.83,$399.43,$390.81
11/16/2021,$392.33,8648192,$382,$394.38,$379
11/15/2021,$371.08,3650647,$374.39,$374.87,$369.29
11/12/2021,$372.63,2793301,$369.12,$373.5,$366.7
11/11/2021,$367.63,2387327,$371,$372,$365.83
11/10/2021,$368.58,2161363,$368.25,$371.21,$367.72
11/09/2021,$370.65,2183287,$369.67,$373.88,$368.705
11/08/2021,$368.59,2357162,$370.22,$372.91,$367.85
11/05/2021,$368.4,3090203,$373.81,$374.41,$367.57
11/04/2021,$372.18,3210297,$370.78,$373.23,$369.41
11/03/2021,$368.97,2378916,$366.63,$369.36,$365.25
11/02/2021,$367.29,2367422,$366.2,$368.89,$364.94
11/01/2021,$366.48,3380513,$373,$373.57,$364.7
10/29/2021,$371.74,3820193,$370.33,$375.15,$370.03
10/28/2021,$371.57,2553451,$373,$373.94,$370.89
10/27/2021,$372.32,2840530,$369.87,$375.15,$369.3082
10/26/2021,$369.2,2989456,$373.39,$374.05,$369.08
10/25/2021,$371.26,2923355,$367.2,$371.66,$365.99
10/22/2021,$365.99,2734712,$365,$367.03,$362.15
10/21/2021,$364.62,2885381,$358.2,$364.85,$358.12
10/20/2021,$358.23,2574822,$357.74,$359.57,$356.21
10/19/2021,$357.99,2375643,$356.94,$358.09,$354.42
10/18/2021,$355.01,3487794,$349,$355.95,$349
10/15/2021,$350.41,3473488,$346.54,$350.9527,$345.75
10/14/2021,$344.05,2825549,$340.53,$344.37,$340.1
10/13/2021,$338.28,2477742,$337.32,$340.24,$336.55
10/12/2021,$337.8,2960592,$339.14,$341.05,$337.4
10/11/2021,$336.97,2589300,$335.6,$340.855,$334.6
10/08/2021,$334.34,2912407,$333,$335.405,$330.88
10/07/2021,$337.48,2789455,$333.5,$339.22,$332.86
10/06/2021,$330.36,2226755,$328.16,$330.65,$325.4
10/05/2021,$329.48,2514633,$326.9,$332.19,$326.3269
10/04/2021,$326.47,2919900,$328.5,$330.61,$324.16
10/01/2021,$329.86,2814197,$328.15,$332.73,$324.575
09/30/2021,$328.26,4255516,$338.24,$338.71,$327.628
09/29/2021,$336.93,2424024,$333.36,$338.88,$333.36
09/28/2021,$333.8,3304063,$341.37,$341.37,$332.46
09/27/2021,$341.41,2966325,$336.87,$343.74,$336.87
09/24/2021,$337.49,2005153,$336.78,$337.84,$335.55
09/23/2021,$335.91,2426771,$337.84,$339.52,$335.6
09/22/2021,$335.93,2873107,$335.85,$339,$333.4596
09/21/2021,$334.22,3171072,$333.03,$336.9676,$332.0001
09/20/2021,$331.21,4036622,$331.83,$335.39,$328.4301
09/17/2021,$335.67,7103090,$334.95,$339.645,$334.95
09/16/2021,$336.39,3043946,$334.72,$337.84,$334.17
09/15/2021,$333.37,2875484,$333.36,$334.67,$330.1
09/14/2021,$333.12,2857182,$336.03,$337.4899,$332.4183
09/13/2021,$335.45,3908660,$334.95,$337.15,$332.75
09/10/2021,$331.95,3178640,$334,$335.23,$331.45
09/09/2021,$331.77,3012064,$332.45,$333.7286,$330.87
09/08/2021,$331.58,2219483,$328.95,$331.93,$327.63
09/07/2021,$328.95,2555840,$331.03,$332.56,$326.9
09/03/2021,$330.34,2775245,$325.33,$330.9,$325.16
09/02/2021,$327.74,3111117,$325.03,$328.18,$323.7
09/01/2021,$323.64,3339053,$325.56,$325.78,$320.28
08/31/2021,$326.18,4183144,$327,$328.2721,$323.62
08/30/2021,$327.1,2926865,$325.91,$329.5012,$325.21
08/27/2021,$323.38,2985438,$320.88,$324.05,$319.647
08/26/2021,$321.48,2952338,$323.208,$324.99,$321
08/25/2021,$323.88,2587070,$324.15,$326.56,$323.11
08/24/2021,$324.9,2359831,$328.76,$328.84,$324.51
08/23/2021,$327.74,2792663,$330,$330.53,$327.38
08/20/2021,$329.24,2929948,$322.64,$329.68,$322.47
08/19/2021,$322.9,2974734,$318.79,$325.19,$317.8
08/18/2021,$321.55,4880638,$319.34,$327.86,$319
08/17/2021,$320.75,9322822,$321,$323.59,$316.61
08/16/2021,$335.05,3501342,$330.71,$335.63,$327.97
08/13/2021,$331.32,2217001,$333.86,$335.8,$330.98
08/12/2021,$334.02,2554783,$337.35,$338.17,$332.28
08/11/2021,$337,3258579,$333.8,$338.55,$333.4
08/10/2021,$331.48,1868143,$328.67,$333.24,$327.146
08/09/2021,$328.76,1995337,$329.23,$331.07,$327.3201
08/06/2021,$329.84,2656872,$334.69,$335.71,$329.1231
08/05/2021,$333.11,2284098,$331.96,$336,$331.09
08/04/2021,$330.31,1783670,$330.69,$331.92,$329.39
08/03/2021,$331.94,2405883,$328.35,$333.0145,$328.03
08/02/2021,$327.22,2016388,$330,$330,$326.42
07/30/2021,$328.19,2381388,$326.85,$330.11,$326.34
07/29/2021,$327.43,2172425,$326.49,$328.56,$325.44
07/28/2021,$325.52,2376160,$326.42,$329.33,$324.71
07/27/2021,$327.26,2910260,$331.79,$331.88,$326.06
07/26/2021,$331.18,2752275,$330.07,$331.56,$326.88
07/23/2021,$332.84,2786373,$329.47,$333.45,$327.94
07/22/2021,$326.66,2208229,$327.94,$327.97,$325.33
07/21/2021,$326.36,2832573,$327.6,$328.47,$324.97
07/20/2021,$325.35,4251678,$318.5,$326.13,$318.27
07/19/2021,$318.87,3752924,$317.99,$319,$314.91
07/16/2021,$321.54,3623944,$324,$326.28,$321.4
07/15/2021,$322.71,2603905,$317.38,$322.96,$317.3635
07/14/2021,$319.22,3381563,$318.75,$320.06,$318.0101
07/13/2021,$317.05,3213818,$322.44,$323.29,$316.83
07/12/2021,$321.74,2521771,$321.07,$324,$320.53
07/09/2021,$322.09,2587371,$320.54,$323.31,$320.18
07/08/2021,$318.54,3663159,$319.07,$320.33,$314.8
07/07/2021,$323.48,2939948,$318.49,$324.4199,$318.25
07/06/2021,$319.26,3109525,$322.83,$323.83,$316.8
07/02/2021,$322.7,2201785,$322.53,$323.12,$321.35
07/01/2021,$321.54,2578049,$319.91,$321.69,$318.5001
06/30/2021,$318.89,3061522,$317.94,$320.285,$317.69
06/29/2021,$318.24,3150142,$315.788,$320.299,$315.56
06/28/2021,$314.28,2635733,$313.66,$315.27,$311.3694
06/25/2021,$313.63,11733470,$312.24,$315.46,$311.5501
06/24/2021,$311.84,2649191,$313.12,$314.8355,$311.67
06/23/2021,$311.67,2564520,$312.02,$313.6599,$310.632
06/22/2021,$312.71,4418668,$309.13,$314.91,$308.295
06/21/2021,$307.6,3774182,$305.25,$308.7194,$304.87
06/18/2021,$302.61,8792671,$299.25,$303.83,$298.4
06/17/2021,$303.12,4481070,$303.05,$305.2101,$300.03
06/16/2021,$302.78,4492520,$306.69,$307.35,$301.17
06/15/2021,$306.45,5270587,$308.75,$308.95,$303.485
06/14/2021,$309.32,3393468,$308.93,$310.06,$306.22
06/11/2021,$310.77,2785057,$309.27,$311.24,$308.35
06/10/2021,$308.31,3286333,$307.65,$309.65,$306.14
06/09/2021,$307.34,3603743,$311.45,$312.98,$306.9
06/08/2021,$310.9,2913774,$311.27,$312.29,$308.98
06/07/2021,$309.96,3974785,$311.12,$312.33,$307.88
06/04/2021,$311.01,2638681,$312.11,$313.45,$309.35
06/03/2021,$311.43,2652535,$311,$312.925,$309.69
06/02/2021,$313.23,3380075,$315.48,$316.98,$312.41
06/01/2021,$316.31,3549754,$320.66,$321.255,$315.17
05/28/2021,$318.91,3197218,$320.37,$321.51,$318.85
05/27/2021,$318.77,3734767,$317.3,$320.41,$317.3
05/26/2021,$317.33,2881591,$317.81,$321.375,$316.68
05/25/2021,$316.75,3523348,$315.53,$317.1,$314.2474
05/24/2021,$314.84,2930620,$316.84,$318.74,$314.59
05/21/2021,$315.77,3920594,$317,$319.2837,$314.45
05/20/2021,$315.9,3854700,$314.89,$319.71,$314.89
05/19/2021,$314.45,5242148,$312,$314.75,$309.066
05/18/2021,$316.75,7010318,$320,$324.555,$314.7783
05/17/2021,$320.01,4381533,$321,$322.83,$315.31
05/14/2021,$323.63,3997955,$326.29,$327.32,$321.86
05/13/2021,$325.42,5161694,$319,$327.415,$318.69
05/12/2021,$317,5821980,$326.52,$328.8,$316.27
05/11/2021,$330.66,5500874,$337.55,$338,$328.21
