Date,Close/Last,Volume,Open,High,Low
05/10/2021,$341.12,4840551,$340.45,$345.69,$339.54
05/07/2021,$339.25,2998274,$336.68,$339.81,$335.53
05/06/2021,$337.58,3539581,$333.67,$337.81,$333.23
05/05/2021,$332.05,2014958,$334.25,$335.71,$331.08
05/04/2021,$332.77,3954400,$329.12,$333.23,$328.88
05/03/2021,$330.27,3683678,$326.28,$331.62,$325.68
04/30/2021,$323.67,3118747,$325.05,$325.835,$321.61
04/29/2021,$325.34,3261852,$321.71,$325.79,$321.08
04/28/2021,$319.71,2713438,$321.95,$322.96,$319.3
04/27/2021,$320.59,3335793,$320.5,$322.4688,$320.38
04/26/2021,$319.99,2848501,$323.68,$324,$319.315
04/23/2021,$323.89,3407497,$322.19,$325.53,$319.5754
04/22/2021,$321.46,4874998,$326.2,$326.43,$318.84
